구분,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,1066,3250,563,966,815,1094
전라남도,129763,4956,3031,48994,50186,85341,3208,1468,2380,7691,5737,3496,1437,16419,5245,0,6176,4367,8869,4601,2130,4426
전라남도,0,0,0,0,0,0,0,0,0,3504,2239,113,535,1095,893,0,3215,1175,895,1880,1832,2594
전라남도,0,0,0,0,0,0,0,0,0,0,4828,1482,3007,2756,2950,0,1797,2976,2663,2359,3386,2846
전라남도,13065,6688,4009,11594,8460,22165,11776,6947,30134,443759,488172,228879,11684,15372,34750,6180,9460,26630,24710,7406,6064,6388
전라남도,3355,5540,799,2981,7676,7346,14418,4811,16948,14883,31776,5247,11901,318602,6955,5496,12771,12324,11260,71168,8278,5196
전라남도,14540,8151,869,7655,87393,137133,3387,8947,106031,26358,2627,153278,4205,3786,4080,3188,11800,8073,4217,12132,3100,10103
전라남도,793,347,367,487,432,284,962,1057,1442,1113,1211,1947,555,370,268,0,822,890,1069,753,1138,1146
전라남도,1424,1633,323,2584,1899,4561,5726,1696,3249,2976,425,11914,1796,1103,1869,0,5003,3816,2898,1938,3482,2158
전라남도,555,1627,691,1240,1141,1263,538,624,210,510,922,7185,323,1289,1323,0,1641,1013,1386,1891,794,2829
전라남도,0,0,0,0,0,0,0,0,0,0,561,1680,2131,1017,1249,0,907,1977,699,1098,1744,685
전라남도,0,0,0,0,0,0,0,0,0,0,0,557,707,740,1092,0,359,534,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,885,725,836,1023,0,596,462,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,1036,1218,2005,506,931,0,477,1237,2563,2289,667,1996
전라남도,0,0,0,0,0,0,0,0,0,0,569,1089,0,0,0,0,367,438,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,310,188,247,270,81,0,920,145,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,233,331,188,71,217,0,98,606,0,0,0,0
전라남도,1470,2537,408,1753,6843,3179,4434,4177,3033,3533,2021,2833,2320,2075,3051,0,1682,1339,3155,673,5667,4210
전라남도,915,2177,1328,1354,1943,5857,1329,2708,3482,75277,2870,29428,1397,454,624,0,1325,734,4758,3868,3190,8534
전라남도,456,735,108,736,154,886,137,431,333,945,98,709,317,1088,338,0,852,3607,1927,510,1727,1685
전라남도,0,0,0,0,0,0,0,0,0,0,0,2122,1953,1229,2082,0,1231,798,740,774,1571,1142
전라남도,0,0,0,0,0,0,0,0,0,0,0,2322,1155,532,589,0,406,1731,0,0,0,0
전라남도,4446,0,0,0,0,0,0,0,0,0,0,4305,4379,3500,9521,0,6194,3736,7300,10046,16932,6296
전라남도,364,4271,520,5818,1812,4612,2186,2487,2908,4141,3162,5145,3577,6566,1180,0,2552,1656,2993,1246,2342,1597
전라남도,346,106,654,724,863,561,549,316,212,790,378,687,40,413,429,0,293,454,0,0,0,0
전라남도,1610,757,2105,2307,1533,3546,6748,1536,3996,4238,498,6599,952,463,2725,0,3978,1961,2871,4768,4008,4698
전라남도,18634,632,809,622,554,462,754,1261,1040,2774,540,826,1230,610,665,0,6038,1871,2332,1406,3608,4368
전라남도,7519,15820,9251,14824,9114,5048,6730,5215,6964,7416,2262,6344,3234,3979,6461,5249,4720,6818,5877,5059,17552,10584
전라남도,10093,6518,4746,12448,7444,5449,9558,11512,9975,9257,10795,13141,9014,11282,11467,11862,9305,19020,13006,23531,28768,21566
전라남도,0,12901,6788,3477,5458,4185,7586,5718,3390,2629,2467,5948,3330,12380,6651,13654,7743,31405,9293,8401,10201,18801
전라남도,0,0,0,0,0,0,0,0,0,0,0,581,964,2305,824,0,249,2489,1420,769,4019,916
경상남도,0,0,0,0,0,0,0,0,0,0,945,30128,2689,1440,4047,0,3300,2503,3017,3045,4048,3665
경상남도,0,0,0,0,0,0,0,0,0,0,2067,9286,2370,2409,1367,0,1576,3281,18912,6815,3373,4980
경상남도,2747,2429,3314,4446,1919,3865,2283,0,3940,5014,2936,7479,1501,4578,3718,0,2484,5816,997,4474,2938,3167
경상남도,573,2002,2734,1684,2812,1982,1474,1671,4829,3766,4335,1382,1919,1226,2216,0,2345,3736,2081,2662,1486,2464
경상남도,5919,5743,3658,5956,2850,3789,9682,3072,8180,1917,7563,1980,2716,2685,2078,0,7780,4090,2744,2984,2202,1908
경상남도,0,0,0,0,0,0,0,4833,0,0,753,340,518,620,1018,0,946,357,1176,2081,1034,743
경상남도,0,0,0,0,0,0,0,0,0,0,0,6088,2030,4631,6738,0,3742,1149,10635,8273,10609,7039
경상남도,4153,2427,5784,846,4168,7993,4725,8253,3462,4711,6580,4179,4601,2592,6029,8825,7931,9033,13735,6255,10222,12148
