주소,축종,사육두수,발생일,지역코드,location,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
충청북도 음성군 맹동면 봉현리,오리-육용오리,9900,20161122,127,충주,4.5,0.9,2.1,63.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,7000,20161122,127,충주,4.5,0.9,2.1,63.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,4400,20161122,127,충주,4.5,0.9,2.1,63.4
충청북도 음성군 맹동면 봉현리,닭-종계,84000,20161127,127,충주,3.2,0.0,0.8,81.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,11000,20161118,127,충주,7.6,5.9,0.9,80.3
충청북도 음성군 맹동면 봉현리,오리-육용오리,17340,20161118,127,충주,7.6,5.9,0.9,80.3
충청북도 음성군 맹동면 본성리,오리-육용오리,20255,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 본성리,오리-육용오리,10500,20150313,127,충주,4.9,7.1,2.0,53.1
충청북도 음성군 맹동면 본성리,오리-육용오리,10200,20161123,127,충주,0.7,0.0,1.3,44.1
충청북도 음성군 맹동면 마산리,오리-육용오리,6980,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 마산리,오리-육용오리,18970,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 마산리,오리-육용오리,23389,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 마산리,오리-육용오리,15929,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 마산리,오리-육용오리,11544,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,10000,20161121,127,충주,7.0,0.0,0.6,84.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,20000,20150302,127,충주,2.1,0.0,1.4,47.0
충청북도 음성군 맹동면 봉현리,오리-육용오리,16500,20161123,127,충주,0.7,0.0,1.3,44.1
충청북도 음성군 삼성면 용성리,닭,15000,20031219,127,충주,-4.7,0.0,4.3,46.1
충청북도 음성군 맹동면 봉현리,오리-육용오리,5000,20150303,127,충주,3.4,0.5,1.8,57.5
충청북도 음성군 맹동면 봉현리,닭-종계,80000,20150310,127,충주,-3.0,0.0,5.0,27.0
충청북도 음성군 맹동면 봉현리,오리-육용오리,20000,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,11700,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,14000,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,11200,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,9300,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,28200,20150223,127,충주,1.5,0.0,2.3,56.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,6418,20150226,127,충주,2.2,1.0,3.5,49.6
충청북도 음성군 맹동면 봉현리,오리-육용오리,8001,20150301,127,충주,2.3,0.2,2.8,61.5
충청북도 음성군 맹동면 봉현리,오리-육용오리,10102,20150227,127,충주,-1.6,0.0,2.3,36.3
충청북도 음성군 맹동면 봉현리,오리-육용오리,5000,20150223,127,충주,1.5,0.0,2.3,56.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,9000,20150303,127,충주,3.4,0.5,1.8,57.5
충청북도 음성군 맹동면 봉현리,오리-육용오리,11000,20161120,127,충주,10.3,0.0,1.1,75.3
충청북도 음성군 맹동면 봉현리,오리-육용오리,10000,20161119,127,충주,11.6,0.6,0.7,94.0
충청북도 음성군 맹동면 봉현리,오리-육용오리,10000,20161119,127,충주,11.6,0.6,0.7,94.0
충청북도 음성군 맹동면 봉현리,오리-육용오리,17000,20161119,127,충주,11.6,0.6,0.7,94.0
충청북도 충주시 소태면 주치리,닭-토종닭,5500,20210310,127,충주,7.4,0.0,1.2,53.8
