주소,축종,"사육
두수",진단일,발생일,지역코드
경기도 이천시 장호원읍 선읍리,메추리-비분류,164482,20161224,20161218,203
경기도 이천시 장호원읍 선읍리,닭-산란계,18000,20161216,20161210,203
경기도 이천시 장호원읍 어석리,닭-종계,87900,20210223,20210222,203
경기도 이천시 장호원읍 와현리,닭-종계,22200,20210128,20210127,203
경기도 이천시 장호원읍 와현리,닭-종계,24000,20210127,20210126,203
경기도 이천시 장호원읍 와현리,닭-산란계,14860,20161230,20161225,203
경기도 이천시 장호원읍 와현리,닭-종계,25506,20161220,20161216,203
경기도 이천시 장호원읍 진암리,닭-산란계,25000,20161214,20161209,203
경기도 파주시 광탄면 창만리,닭-산란계,7000,20110118,20110118,99
경기도 파주시 법원읍 갈곡리,닭-일괄,1600,20170606,20170603,99
경기도 파주시 적성면 어유지리,닭-산란계,130000,20210127,20210126,99
경기도 평택시 고덕면 동고리,닭-산란계,370000,20210216,20210215,232
경기도 평택시 고덕면 동고리,닭-산란계,620000,20161222,20161216,232
경기도 평택시 고덕면 두릉리,오리-산란오리,4500,20161201,20161128,232
경기도 평택시 고덕면 문곡리,오리-기타,11500,20161220,20161216,232
경기도 평택시 고덕면 율포리,닭-육계,7300,20140304,20140228,232
경기도 평택시 서탄면 회화리,닭-산란계,121000,20161216,20161211,232
경기도 평택시 안중읍 성해리,닭-기타,35000,20110207,20110207,232
경기도 평택시 오성면 길음리,닭-산란계,35000,20161228,20161222,232
경기도 평택시 오성면 안화리,닭-비분류,72962,20161226,20161220,232
경기도 평택시 오성면 양교리,닭-산란계,486000,20180318,20180316,232
경기도 평택시 청북면 고잔리,닭-산란계,570100,20161207,20161203,232
경기도 평택시 청북면 고잔리,닭-산란계,110,20140312,20140306,232
경기도 평택시 청북면 삼계리,닭-종계,25113,20161220,20161215,232
경기도 평택시 청북면 현곡리,꿩,2000,20110125,20110125,232
경기도 평택시 청북읍 고잔리,닭-산란계,26500,20201229,20201228,232
경기도 평택시 청북읍 고잔리,닭-산란계,143000,20180128,20180127,232
경기도 평택시 청북읍 한산리,닭-종계,20000,20161218,20161211,232
경기도 평택시 팽성읍 대사리,닭-산란계,239200,20210211,20210209,232
경기도 평택시 팽성읍 대사리,닭-산란계,370000,20161224,20161222,232
경기도 평택시 팽성읍 대사리,오리-종오리,12800,20161216,20161210,232
경기도 평택시 팽성읍 대사리,오리-종오리,18600,20140225,20140223,232
경기도 평택시 팽성읍 대사리,닭-종계,25000,20110125,20110125,232
경기도 평택시 포승면 석정리,닭-산란계,22597,20080414,20080414,232
경기도 평택시 포승면 석정리,닭-산란계,22597,20080416,20080416,232
경기도 평택시 포승읍 도곡리,닭-종계,25000,20161230,20161225,232
경기도 평택시 포승읍 석정리,오리-육용오리,10000,20161228,20161223,232
경기도 평택시 포승읍 홍원리,닭-산란계,66000,20161224,20161218,232
경기도 포천시 관인면 사정리,닭-종계,38496,20161222,20161217,98
경기도 포천시 관인면 탄동리,닭-산란계,160000,20161209,20161203,98
경기도 포천시 선단동,닭-산란계,180000,20210113,20210112,98
경기도 포천시 신북면 삼성당리,닭-산란계,39000,20210127,20210126,98
경기도 포천시 영북면 문암리,닭-산란계,30000,20161216,20161210,98
경기도 포천시 영북면 야미리,닭-산란계,37000,20161220,20161213,98
경기도 포천시 영북면 야미리,닭-산란계,11000,20161222,20161216,98
경기도 포천시 영북면 야미리,닭-산란계,25926,20161220,20161210,98
경기도 포천시 영북면 야미리,닭-산란계,50000,20161216,20161210,98
경기도 포천시 영북면 야미리,닭-산란계,188000,20161209,20161204,98
경기도 포천시 영북면 자일리,닭-산란계,198400,20180104,20180103,98
경기도 포천시 영북면 자일리,고양이-코리아숏헤어,7,20170102,20161230,98
경기도 포천시 영북면 자일리,고양이-코리아숏헤어,7,20161231,20161226,98
경기도 포천시 영북면 자일리,고양이-코리아숏헤어,7,20161231,20161226,98
경기도 포천시 영북면 자일리,닭-산란계,68014,20161210,20161206,98
경기도 포천시 영북면 자일리,닭-산란계,71200,20161210,20161205,98
경기도 포천시 영북면 자일리,닭-산란계,24030,20161209,20161204,98
경기도 포천시 영북면 자일리,닭-산란계,30000,20161209,20161204,98
경기도 포천시 영북면 자일리,닭-산란계,37000,20161209,20161202,98
경기도 포천시 영북면 자일리,닭-산란계,24500,20161207,20161202,98
경기도 포천시 영북면 자일리,닭-산란계,28000,20161207,20161202,98
경기도 포천시 영북면 자일리,닭-산란계,35824,20161207,20161202,98
경기도 포천시 영북면 자일리,닭-산란계,31900,20161207,20161202,98
경기도 포천시 영북면 자일리,닭-산란계,299000,20161125,20161122,98
경기도 포천시 영중면 거사리,닭-산란계,189738,20210227,20210226,98
경기도 포천시 영중면 거사리,닭-산란계,134000,20150126,20150122,98
경기도 포천시 영중면 성동리,닭-산란계,43000,20161222,20161216,98
경기도 포천시 이동면 노곡리,닭-산란계,106503,20170127,20170124,98
경기도 포천시 일동면 길명리,닭-토종닭,1135,20150428,20150424,98
경기도 포천시 창수면 주원리,닭-산란계,160000,20210208,20210207,98
경기도 포천시 창수면 주원리,닭-산란계,130000,20161224,20161219,98
경기도 포천시 창수면 주원리,닭-산란계,331778,20161218,20161212,98
경기도 포천시 창수면 추동리,닭-백세미,48000,20150423,20150420,98
경기도 포천시 창수면 추동리,닭-토종닭,11000,20150423,20150420,98
경기도 포천시 화현면 지현리,닭-산란계,15000,20170202,20170124,98
경기도 화성시 남양읍 신남리,닭-산란계,90000,20201217,20201216,119
경기도 화성시 남양읍 온석리,닭-육계,60000,20170109,20170103,119
경기도 화성시 남양읍 온석리,닭-산란계,48000,20170105,20170101,119
경기도 화성시 남양읍 온석리,닭-산란계,300000,20170105,20170101,119
경기도 화성시 남양읍 온석리,닭-산란계,154800,20140228,20140227,119
경기도 화성시 남양읍 장덕리,닭-육계,41268,20170114,20170108,119
경기도 화성시 마도면 청원리,닭-토종닭,30000,20170125,20170121,119
경기도 화성시 서신면 전곡리,닭-종계,18000,20140130,20140128,119
경기도 화성시 양감면 사창리,닭-산란계,602000,20210124,20210123,119
경기도 화성시 양감면 사창리,닭-산란계,14000,20161214,20161207,119
경기도 화성시 양감면 사창리,닭-종계,23286,20161201,20161129,119
경기도 화성시 온석동,오리-육용오리,6452,20140212,20140211,119
경기도 화성시 온석동,닭-종계,17000,20140211,20140209,119
경기도 화성시 온석동,닭-육계,27000,20140211,20140206,119
경기도 화성시 우정읍 매향리,닭-산란계,46000,20161220,20161216,119
경기도 화성시 팔탄면 구장리,닭-산란계,150000,20210218,20210217,119
경기도 화성시 팔탄면 구장리,닭-산란계,147700,20180127,20180126,119
경기도 화성시 팔탄면 서근리,오리-종오리,8000,20110210,20110210,119
경기도 화성시 팔탄면 율암리,닭-산란계,29835,20170125,20170120,119
경기도 화성시 팔탄면 율암리,오리-육용오리,9200,20140211,20140207,119
경기도 화성시 팔탄면 율암리,닭-산란계,26100,20140217,20140214,119
경기도 화성시 향남읍 상신리,닭-산란계,310000,20201223,20201222,119
경상남도 거창군 가조면 동례리,오리-육용오리,20400,20210110,20210109,284
경상남도 고성군 거류면 은월리,닭-토종닭,850,20170613,20170610,162
경상남도 고성군 거류면 은월리,개-기타,3,20150201,20150123,162
경상남도 고성군 거류면 은월리,오리-육용오리,14000,20150124,20150119,162
경상남도 고성군 대가면 갈천리,닭-토종닭,131,20170613,20170609,162
경상남도 고성군 마암면 두호리,오리-육용오리,11000,20161229,20161225,162
경상남도 고성군 마암면 삼락리,오리-육용오리,14000,20210115,20210112,162
경상남도 고성군 마암면 삼락리,오리-육용오리,9800,20210115,20210112,162
경상남도 고성군 마암면 삼락리,오리-육용오리,18500,20210115,20210112,162
경상남도 고성군 마암면 삼락리,오리-육용오리,10500,20210112,20210111,162
경상남도 고성군 마암면 삼락리,오리-육용오리,15000,20161231,20161226,162
경상남도 밀양시 초동면 덕산리,닭-토종닭,9400,20140130,20140128,288
경상남도 양산시 동면 내송리,닭-토종닭,150,20110224,20110224,257
경상남도 양산시 명곡동,닭-토종닭,20,20141222,20141211,257
