구분,시도,시군,2014년-10월,2014년-11월,2014년-12월,2015년-01월,2015년-02월,2015년-03월,2015년-10월,2015년-11월,2015년-12월,2016년-01월,2016년-02월,2016년-03월,2016년-10월,2016년-11월,2016년-12월,2017년-01월,2017년-02월,2017년-03월,2017년-10월,2017년-11월,2017년-12월,2018년-01월,2018년-02월,2018년-03월,2018년-10월,2018년-11월,2018년-12월,2019년-01월,2019년-02월,2019년-03월,2019년-10월,2019년-11월,2019년-12월,2020년-01월,2020년-02월,2020년-03월,2020년-10월,2020년-11월,2020년-12월,2021년-01월,2021년-02월,2021년-03월,평균
성산-남원,제주특별자치도,서귀포시,0,0,7441,0,0,0,0,0,4603,5931,0,0,0,0,5358,8915,0,2470,0,0,10465,9514,8907,0,0,0,4657,7170,0,0,0,0,3317,4251,0,0,0,3103,4994,9836,8209,4462,2704.833333
성산,제주특별자치도,서귀포시,436,2825,3780,5524,3803,3200,217,602,3770,2940,2820,3245,270,1222,3564,3822,0,0,138,2392,2012,3107,2889,689,196,1500,3016,2662,2493,1748,216,2715,2351,5134,3010,1130,575,2292,1801,3642,6074,1729,2275.02381
용담-대정,제주특별자치도,제주시,1729,4351,23320,13889,11019,5967,3138,5296,9168,6739,6727,7027,2690,4676,7645,5431,0,0,0,0,6665,8206,9960,0,0,0,7301,5441,0,0,0,0,6800,9494,0,0,0,4634,6477,19984,9732,5092,5204.714286
서귀-안덕,제주특별자치도,서귀포시,1659,2337,6072,6836,5019,2655,682,1586,4060,5724,4345,1882,974,1108,2993,4289,0,0,0,0,2330,4059,6043,0,0,0,2194,8053,0,0,0,0,3378,8152,0,0,0,1191,2661,5246,5080,3284,2473.619048
하도리,제주특별자치도,제주시,1136,6458,5379,3945,3384,3869,475,4218,4360,2891,3817,2358,1014,3159,2470,1214,1379,536,479,4683,3262,2367,1853,1644,395,4079,5131,6471,1865,1774,398,4078,5908,3195,1182,1589,690,3342,4838,4616,3495,1517,2878.880952
함덕-하도,제주특별자치도,제주시,0,0,1342,0,0,0,0,0,1783,4233,0,0,0,0,2638,4992,0,0,0,0,5005,7572,7646,0,0,0,3639,3645,0,0,0,0,8729,11582,0,0,0,4079,6692,15850,11709,7866,2595.285714
대아저수지,전라북도,완주군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동상저수지,전라북도,완주군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
병천천,충청북도,청주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,2298,2116,5644,1044,1419,344,1931,2226,3448,3060,2213,398,1916,1497,1842,1504,966,782,1484,1325,1395,1261,590,1005.47619
안성천,경기도 ,안성시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,917,1454,2545,1128,946,694,148,2526,1794,1561,1117,851,1044,2998,1662,1230,1665,974,1430,2183,1358,2201,1271,835.5238095
공릉천중류,경기도 ,파주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,2479,3547,1993,2855,1366,709,1839,1669,1959,3155,1519,1084,2491,3945,3022,2388,1823,1889,1805,2303,2009,1583,973,1180.642857
황구지천,경기도 ,수원시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,1244,4928,2859,1490,2101,1206,764,4464,3229,957,606,422,740,2713,2492,1328,597,1064,992,2308,4728,4836,2175,1173.904762
포천천,경기도 ,포천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,639,490,815,848,565,275,496,962,826,806,703,466,628,1084,806,350,849,448,607,1143,1633,1151,589,424.3095238
원주천,강원도 ,원주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,2016,1803,1862,1925,1040,1174,1735,1961,1720,2189,1708,735,719,1041,1192,658,1378,935,1147,858,578,856,812,752.6190476
무심천,충청북도,청주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,964,911,878,327,135,824,679,608,608,1108,719,276,604,1003,985,684,497,401,1067,1067,822,804,547,414.8333333
보강천,충청북도,증평군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,1106,1290,1217,966,1193,835,1241,966,1164,1387,875,796,1251,581,1066,907,558,1597,1930,903,699,1063,639,598.4285714
복하천,경기도 ,이천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,1796,2886,1693,2120,2374,1849,2066,3323,2764,3017,1730,1315,2735,3201,4269,1627,1540,1607,1583,2893,3696,0,0,1210.904762
무한천,충청남도,예산군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,998,3121,2485,883,1355,401,906,1346,1579,1716,980,354,817,902,2337,655,482,699,578,1181,1391,1641,1674,689.5714286
해미천,충청남도,서산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11742,7666,2772,2379,2600,1703,1130,6617,3821,672,1212,1261,978,5161,3555,3917,2206,808,374,3228,2339,2000,1357,803,1673.833333
전주천,전라북도,전주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,4019,2318,2962,2842,1021,393,1265,2886,3102,1567,898,485,2140,1962,2513,2003,1333,449,859,887,2037,1158,419,951.5
양산천,경상남도,양산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,204,1522,1385,2128,500,69,414,794,842,474,194,104,322,416,585,342,144,205,573,758,1703,1251,499,370.5952381
용수저수지,제주특별자치도,제주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,869,0,0,0,523,193,349,0,0,608,295,148,315,0,0,1122,432,148,0,0,0,0,0,121.9047619
금호강중류,경상북도,영천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,5447,7762,7323,5756,3709,2607,5299,7010,5832,5752,4458,2410,5936,9083,5505,5106,5191,2250,8949,14179,12957,8744,3204,3509.142857
삽교천,충청남도,아산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,1883,2325,8204,2196,5732,945,2216,1828,653,9232,2092,358,1019,2071,12224,1700,1919,970,1103,2575,2080,5095,2825,1701.571429
경안천,경기도 ,용인시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,2288,1949,0,0,1213,809,941,0,0,0,0,0,226.1666667
공릉천하류,경기도 ,파주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4660,3620,5485,3858,2531,15325,7059,2530,5556,2140,5771,4421,3172,1829,2056,1235,1696.380952
화포천,경상남도,김해시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797,1182,0,0,0,0,4913,5289,0,0,0,2523,5450,5762,3147,1016,739.9761905
화성호,경기도 ,화성시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928,5466,6979,16756,0,0,18489,15994,20786,0,0,0,0,0,2104.714286
보령호,충청남도,보령시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091,1530,0,0,0,0,2485,3654,0,0,0,0,2357,2036,0,0,360.7857143
천수만,충청남도,태안군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,3506,0,0,0,0,2729,4680,0,0,0,0,2565,2608,0,0,452.5238095
고막원천,전라남도,장성군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,694,909,874,1321,124.8809524
논산천,충청남도,논산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,2974,2744,3000,1224,269.9047619
신천,경기도 ,동두천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,1299,973,676,757,111.4285714
원천리천,경기도 ,수원시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,411,377,517,359,58.69047619
원평천,전라북도,김제시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5122,8807,30649,5965,1890,1248.404762
장척저수지,경상남도,창녕군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,561,749,1231,939,106.2619048
