년도,주소,시도,시군,축종명,경영체수 합계(건),시설여부(경영체 수),,경영형태(시설 개수),,사육 규모,단위
,,,,,,시설 없음,시설 있음,자영,임차,,
2016,강원도횡성군,강원도,횡성군,칠면조,1,0,1,1,0,10,마리
2016,강원도횡성군,강원도,횡성군,오리,1,1,0,1,0,8,마리
2016,강원도횡성군,강원도,횡성군,메추리,5,0,5,5,0,800000,마리
2016,강원도횡성군,강원도,횡성군,꿩,1,0,2,2,0,1650,마리
2016,강원도영월군,강원도,영월군,육계,17,0,23,21,2,541008,마리
2016,강원도영월군,강원도,영월군,오리,1,0,1,0,1,100,마리
2016,강원도평창군,강원도,평창군,육계,32,9,25,32,2,18599,마리
2016,강원도평창군,강원도,평창군,칠면조,1,0,1,0,1,2,마리
2016,강원도평창군,강원도,평창군,오리,2,0,2,2,0,250,마리
2016,강원도평창군,강원도,평창군,타조,1,0,1,1,0,1,마리
2016,강원도정선군,강원도,정선군,육계,94,59,36,90,5,8106,마리
2016,강원도정선군,강원도,정선군,오리,5,5,0,5,0,40,마리
2016,강원도철원군,강원도,철원군,육계,45,0,59,50,9,2043405,마리
2016,강원도철원군,강원도,철원군,오리,1,0,1,1,0,20,마리
2016,강원도화천군,강원도,화천군,육계,26,2,29,29,2,910155,마리
2016,강원도양구군,강원도,양구군,육계,6,0,11,11,0,236150,마리
2016,강원도양구군,강원도,양구군,오리,2,0,3,3,0,30000,마리
2016,강원도인제군,강원도,인제군,육계,14,1,16,17,0,231800,마리
2016,강원도고성군,강원도,고성군,육계,24,3,21,21,3,97094,마리
2016,강원도고성군,강원도,고성군,오리,2,0,2,1,1,200,마리
2016,강원도양양군,강원도,양양군,육계,22,3,19,20,2,3478,마리
2016,충청북도청주시,충청북도,청주시,육계,111,1,130,90,41,2509779,마리
2016,충청북도청주시,충청북도,청주시,오리,26,0,39,19,20,326159,마리
2016,충청북도청주시,충청북도,청주시,메추리,3,0,4,4,0,225000,마리
2016,충청북도청주시,충청북도,청주시,꿩,2,0,2,2,0,60,마리
2016,충청북도청주시,충청북도,청주시,칠면조,2,0,2,2,0,16,마리
