시도,시군구,year,month,철새수
강원도 ,횡성군,2014,12,899
강원도 ,횡성군,2015,1,0
강원도 ,횡성군,2015,2,0
강원도 ,횡성군,2015,3,0
강원도 ,횡성군,2015,10,0
강원도 ,횡성군,2015,11,0
강원도 ,횡성군,2015,12,412
강원도 ,횡성군,2016,1,639
강원도 ,횡성군,2016,2,0
강원도 ,횡성군,2016,3,0
강원도 ,횡성군,2016,10,0
강원도 ,횡성군,2016,11,0
강원도 ,횡성군,2016,12,532
강원도 ,횡성군,2017,1,522
강원도 ,횡성군,2017,2,0
강원도 ,횡성군,2017,3,0
강원도 ,횡성군,2017,10,0
강원도 ,횡성군,2017,11,0
강원도 ,횡성군,2017,12,0
강원도 ,횡성군,2018,1,0
강원도 ,횡성군,2018,2,0
강원도 ,횡성군,2018,3,0
강원도 ,횡성군,2018,10,0
강원도 ,횡성군,2018,11,0
강원도 ,횡성군,2018,12,0
강원도 ,횡성군,2019,1,0
강원도 ,횡성군,2019,2,0
강원도 ,횡성군,2019,3,0
강원도 ,횡성군,2019,10,0
강원도 ,횡성군,2019,11,0
강원도 ,횡성군,2019,12,0
강원도 ,횡성군,2020,1,0
강원도 ,횡성군,2020,2,0
강원도 ,횡성군,2020,3,0
강원도 ,횡성군,2020,10,0
강원도 ,횡성군,2020,11,0
강원도 ,횡성군,2020,12,0
강원도 ,횡성군,2021,1,0
강원도 ,횡성군,2021,2,0
강원도 ,횡성군,2021,3,0
충청북도,충주시,2014,10,4786
충청북도,충주시,2014,11,7534
충청북도,충주시,2014,12,13632
충청북도,충주시,2015,1,11569
충청북도,충주시,2015,2,12602
충청북도,충주시,2015,3,10745
충청북도,충주시,2015,10,4192
충청북도,충주시,2015,11,11329
충청북도,충주시,2015,12,38957
충청북도,충주시,2016,1,21871
충청북도,충주시,2016,2,19116
충청북도,충주시,2016,3,15089
충청북도,충주시,2016,10,3367
충청북도,충주시,2016,11,14710
충청북도,충주시,2016,12,10565
충청북도,충주시,2017,1,16674
충청북도,충주시,2017,2,0
충청북도,충주시,2017,3,0
충청북도,충주시,2017,10,3794
충청북도,충주시,2017,11,8669
충청북도,충주시,2017,12,8796
충청북도,충주시,2018,1,10553
충청북도,충주시,2018,2,12337
충청북도,충주시,2018,3,13005
충청북도,충주시,2018,10,3776
충청북도,충주시,2018,11,12566
충청북도,충주시,2018,12,8162
충청북도,충주시,2019,1,13192
충청북도,충주시,2019,2,9748
충청북도,충주시,2019,3,12857
충청북도,충주시,2019,10,7065
충청북도,충주시,2019,11,16508
충청북도,충주시,2019,12,18631
충청북도,충주시,2020,1,17259
충청북도,충주시,2020,2,12660
충청북도,충주시,2020,3,12930
충청북도,충주시,2020,10,5703
충청북도,충주시,2020,11,22594
충청북도,충주시,2020,12,15999
충청북도,충주시,2021,1,16535
충청북도,충주시,2021,2,19991
충청북도,충주시,2021,3,13422
강원도 ,횡성군,2014,10,988
