주소,축종,사육수,진단일,발생일,지역코드,지역명,시도,시군구,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
경기도 이천시 장호원읍 선읍리,닭-산란계,18000,20161216,20161210,203,이천,경기도,이천시,이천,20161210,-1.4,0.0,1.1,52.8
경기도 이천시 장호원읍 어석리,닭-종계,87900,20210223,20210222,203,이천,경기도,이천시,이천,20210222,7.9,0.0,1.8,58.1
경기도 이천시 장호원읍 와현리,닭-종계,22200,20210128,20210127,203,이천,경기도,이천시,이천,20210127,2.3,0.0,1.3,54.1
경기도 이천시 장호원읍 와현리,닭-종계,24000,20210127,20210126,203,이천,경기도,이천시,이천,20210126,3.6,3.3,0.7,91.1
경기도 이천시 장호원읍 와현리,닭-산란계,14860,20161230,20161225,203,이천,경기도,이천시,이천,20161225,-0.6,0.0,0.6,78.0
경기도 이천시 장호원읍 와현리,닭-종계,25506,20161220,20161216,203,이천,경기도,이천시,이천,20161216,-4.6,0.0,1.4,44.9
경기도 이천시 장호원읍 진암리,닭-산란계,25000,20161214,20161209,203,이천,경기도,이천시,이천,20161209,2.1,1.4,1.7,64.5
경기도 파주시 광탄면 창만리,닭-산란계,7000,20110118,20110118,99,파주,경기도,파주시,파주,20110118,-11.6,0.0,0.8,64.4
경기도 파주시 법원읍 갈곡리,닭-일괄,1600,20170606,20170603,99,파주,경기도,파주시,파주,20170603,19.0,0.0,1.5,48.0
경기도 파주시 적성면 어유지리,닭-산란계,130000,20210127,20210126,99,파주,경기도,파주시,파주,20210126,2.0,0.8,0.9,90.5
경기도 평택시 고덕면 동고리,닭-산란계,370000,20210216,20210215,232,천안,경기도,평택시,천안,20210215,1.8,1.3,3.5,73.8
경기도 평택시 고덕면 동고리,닭-산란계,620000,20161222,20161216,232,천안,경기도,평택시,천안,20161216,-4.4,0.0,1.3,58.4
경기도 평택시 고덕면 두릉리,오리-산란오리,4500,20161201,20161128,232,천안,경기도,평택시,천안,20161128,2.3,0.0,1.5,63.6
경기도 평택시 고덕면 문곡리,오리-기타,11500,20161220,20161216,232,천안,경기도,평택시,천안,20161216,-4.4,0.0,1.3,58.4
경기도 평택시 고덕면 율포리,닭-육계,7300,20140304,20140228,232,천안,경기도,평택시,천안,20140228,6.2,0.0,1.9,70.8
경기도 평택시 서탄면 회화리,닭-산란계,121000,20161216,20161211,232,천안,경기도,평택시,천안,20161211,-3.1,0.0,0.6,64.4
