지역,month,year,밀집도,발생건수
경상북도,10,2020,328.57962319999996,0.0
경상북도,11,2012,488.6320409,1.0
경상북도,11,2013,424.223655,1.0
경상북도,11,2014,389.11382050000003,1.0
경상북도,11,2015,407.27407969999996,1.0
경상북도,11,2016,385.23963189999995,1.0
경상북도,11,2017,365.3844152,1.0
경상북도,11,2018,367.0793727,1.0
경상북도,11,2019,332.211675,1.0
경상북도,11,2020,328.57962319999996,1.0
경상북도,12,2012,488.6320409,4.0
경상북도,12,2013,424.223655,4.0
경상북도,12,2014,389.11382050000003,4.0
경상북도,12,2015,407.27407969999996,4.0
경상북도,12,2016,385.23963189999995,4.0
경상북도,12,2017,365.3844152,4.0
경상북도,12,2018,367.0793727,4.0
경상북도,12,2019,332.211675,4.0
경상북도,12,2020,328.57962319999996,4.0
광주광역시,1,2012,10.49201844,0.0
광주광역시,1,2013,7.1536489329999995,0.0
광주광역시,1,2014,9.061288649,0.0
광주광역시,1,2015,10.01510851,0.0
광주광역시,1,2016,7.630558862000001,0.0
광주광역시,1,2017,9.538198578,0.0
광주광역시,1,2018,8.107468791,0.0
광주광역시,1,2019,7.630558862000001,0.0
광주광역시,1,2020,5.722919147000001,0.0
광주광역시,2,2012,10.49201844,0.0
광주광역시,2,2013,7.1536489329999995,0.0
광주광역시,2,2014,9.061288649,0.0
광주광역시,2,2015,10.01510851,0.0
광주광역시,2,2016,7.630558862000001,0.0
광주광역시,2,2017,9.538198578,0.0
광주광역시,2,2018,8.107468791,0.0
광주광역시,2,2019,7.630558862000001,0.0
광주광역시,2,2020,5.722919147000001,0.0
광주광역시,3,2012,10.49201844,0.0
광주광역시,3,2013,7.1536489329999995,0.0
광주광역시,3,2014,9.061288649,0.0
광주광역시,3,2015,10.01510851,0.0
광주광역시,3,2016,7.630558862000001,0.0
광주광역시,3,2017,9.538198578,0.0
광주광역시,3,2018,8.107468791,0.0
광주광역시,3,2019,7.630558862000001,0.0
광주광역시,3,2020,5.722919147000001,0.0
광주광역시,4,2012,10.49201844,0.0
광주광역시,4,2013,7.1536489329999995,0.0
광주광역시,4,2014,9.061288649,0.0
광주광역시,4,2015,10.01510851,0.0
광주광역시,4,2016,7.630558862000001,0.0
광주광역시,4,2017,9.538198578,0.0
광주광역시,4,2018,8.107468791,0.0
광주광역시,4,2019,7.630558862000001,0.0
광주광역시,4,2020,5.722919147000001,0.0
광주광역시,5,2012,10.49201844,0.0
광주광역시,5,2013,7.1536489329999995,0.0
광주광역시,5,2014,9.061288649,0.0
광주광역시,5,2015,10.01510851,0.0
광주광역시,5,2016,7.630558862000001,0.0
광주광역시,5,2017,9.538198578,0.0
광주광역시,5,2018,8.107468791,0.0
광주광역시,5,2019,7.630558862000001,0.0
광주광역시,5,2020,5.722919147000001,0.0
광주광역시,6,2012,10.49201844,0.0
광주광역시,6,2013,7.1536489329999995,0.0
광주광역시,6,2014,9.061288649,0.0
광주광역시,6,2015,10.01510851,0.0
광주광역시,6,2016,7.630558862000001,0.0
광주광역시,6,2017,9.538198578,0.0
광주광역시,6,2018,8.107468791,0.0
광주광역시,6,2019,7.630558862000001,0.0
광주광역시,6,2020,5.722919147000001,0.0
광주광역시,7,2012,10.49201844,0.0
광주광역시,7,2013,7.1536489329999995,0.0
광주광역시,7,2014,9.061288649,0.0
광주광역시,7,2015,10.01510851,0.0
광주광역시,7,2016,7.630558862000001,0.0
광주광역시,7,2017,9.538198578,0.0
광주광역시,7,2018,8.107468791,0.0
광주광역시,7,2019,7.630558862000001,0.0
광주광역시,7,2020,5.722919147000001,0.0
광주광역시,8,2012,10.49201844,0.0
광주광역시,8,2013,7.1536489329999995,0.0
광주광역시,8,2014,9.061288649,0.0
광주광역시,8,2015,10.01510851,0.0
광주광역시,8,2016,7.630558862000001,0.0
광주광역시,8,2017,9.538198578,0.0
광주광역시,8,2018,8.107468791,0.0
광주광역시,8,2019,7.630558862000001,0.0
광주광역시,8,2020,5.722919147000001,0.0
광주광역시,9,2012,10.49201844,2.0
광주광역시,9,2013,7.1536489329999995,2.0
광주광역시,9,2014,9.061288649,2.0
광주광역시,9,2015,10.01510851,2.0
광주광역시,9,2016,7.630558862000001,2.0
광주광역시,9,2017,9.538198578,2.0
광주광역시,9,2018,8.107468791,2.0
광주광역시,9,2019,7.630558862000001,2.0
광주광역시,9,2020,5.722919147000001,2.0
광주광역시,10,2012,10.49201844,0.0
광주광역시,10,2013,7.1536489329999995,0.0
광주광역시,10,2014,9.061288649,0.0
광주광역시,10,2015,10.01510851,0.0
광주광역시,10,2016,7.630558862000001,0.0
광주광역시,10,2017,9.538198578,0.0
광주광역시,10,2018,8.107468791,0.0
광주광역시,10,2019,7.630558862000001,0.0
광주광역시,10,2020,5.722919147000001,0.0
광주광역시,11,2012,10.49201844,0.0
광주광역시,11,2013,7.1536489329999995,0.0
광주광역시,11,2014,9.061288649,0.0
광주광역시,11,2015,10.01510851,0.0
광주광역시,11,2016,7.630558862000001,0.0
광주광역시,11,2017,9.538198578,0.0
광주광역시,11,2018,8.107468791,0.0
광주광역시,11,2019,7.630558862000001,0.0
광주광역시,11,2020,5.722919147000001,0.0
광주광역시,12,2012,10.49201844,0.0
광주광역시,12,2013,7.1536489329999995,0.0
광주광역시,12,2014,9.061288649,0.0
광주광역시,12,2015,10.01510851,0.0
광주광역시,12,2016,7.630558862000001,0.0
광주광역시,12,2017,9.538198578,0.0
광주광역시,12,2018,8.107468791,0.0
광주광역시,12,2019,7.630558862000001,0.0
광주광역시,12,2020,5.722919147000001,0.0
대구광역시,1,2012,5.262910057,0.0
대구광역시,1,2013,5.816900588999999,0.0
대구광역시,1,2014,5.262910057,0.0
대구광역시,1,2015,3.877933726,0.0
대구광역시,1,2016,4.154928992,0.0
대구광역시,1,2017,4.4319242580000004,0.0
대구광역시,1,2018,3.60093846,0.0
대구광역시,1,2019,2.492957395,0.0
대구광역시,1,2020,2.2159621290000002,0.0
대구광역시,2,2012,5.262910057,0.0
대구광역시,2,2013,5.816900588999999,0.0
대구광역시,2,2014,5.262910057,0.0
대구광역시,2,2015,3.877933726,0.0
대구광역시,2,2016,4.154928992,0.0
대구광역시,2,2017,4.4319242580000004,0.0
대구광역시,2,2018,3.60093846,0.0
대구광역시,2,2019,2.492957395,0.0
대구광역시,2,2020,2.2159621290000002,0.0
대구광역시,3,2012,5.262910057,0.0
대구광역시,3,2013,5.816900588999999,0.0
대구광역시,3,2014,5.262910057,0.0
대구광역시,3,2015,3.877933726,0.0
대구광역시,3,2016,4.154928992,0.0
대구광역시,3,2017,4.4319242580000004,0.0
대구광역시,3,2018,3.60093846,0.0
대구광역시,3,2019,2.492957395,0.0
대구광역시,3,2020,2.2159621290000002,0.0
대구광역시,4,2012,5.262910057,0.0
대구광역시,4,2013,5.816900588999999,0.0
대구광역시,4,2014,5.262910057,0.0
대구광역시,4,2015,3.877933726,0.0
대구광역시,4,2016,4.154928992,0.0
대구광역시,4,2017,4.4319242580000004,0.0
대구광역시,4,2018,3.60093846,0.0
대구광역시,4,2019,2.492957395,0.0
대구광역시,4,2020,2.2159621290000002,0.0
대구광역시,5,2012,5.262910057,0.0
대구광역시,5,2013,5.816900588999999,0.0
대구광역시,5,2014,5.262910057,0.0
대구광역시,5,2015,3.877933726,0.0
대구광역시,5,2016,4.154928992,0.0
대구광역시,5,2017,4.4319242580000004,0.0
대구광역시,5,2018,3.60093846,0.0
대구광역시,5,2019,2.492957395,0.0
대구광역시,5,2020,2.2159621290000002,0.0
대구광역시,6,2012,5.262910057,2.0
대구광역시,6,2013,5.816900588999999,2.0
대구광역시,6,2014,5.262910057,2.0
대구광역시,6,2015,3.877933726,2.0
대구광역시,6,2016,4.154928992,2.0
대구광역시,6,2017,4.4319242580000004,2.0
대구광역시,6,2018,3.60093846,2.0
대구광역시,6,2019,2.492957395,2.0
대구광역시,6,2020,2.2159621290000002,2.0
대구광역시,7,2012,5.262910057,0.0
대구광역시,7,2013,5.816900588999999,0.0
대구광역시,7,2014,5.262910057,0.0
대구광역시,7,2015,3.877933726,0.0
대구광역시,7,2016,4.154928992,0.0
대구광역시,7,2017,4.4319242580000004,0.0
대구광역시,7,2018,3.60093846,0.0
대구광역시,7,2019,2.492957395,0.0
대구광역시,7,2020,2.2159621290000002,0.0
대구광역시,8,2012,5.262910057,0.0
대구광역시,8,2013,5.816900588999999,0.0
대구광역시,8,2014,5.262910057,0.0
대구광역시,8,2015,3.877933726,0.0
대구광역시,8,2016,4.154928992,0.0
대구광역시,8,2017,4.4319242580000004,0.0
대구광역시,8,2018,3.60093846,0.0
대구광역시,8,2019,2.492957395,0.0
대구광역시,8,2020,2.2159621290000002,0.0
대구광역시,9,2012,5.262910057,0.0
대구광역시,9,2013,5.816900588999999,0.0
대구광역시,9,2014,5.262910057,0.0
대구광역시,9,2015,3.877933726,0.0
대구광역시,9,2016,4.154928992,0.0
대구광역시,9,2017,4.4319242580000004,0.0
대구광역시,9,2018,3.60093846,0.0
대구광역시,9,2019,2.492957395,0.0
대구광역시,9,2020,2.2159621290000002,0.0
대구광역시,10,2012,5.262910057,0.0
대구광역시,10,2013,5.816900588999999,0.0
대구광역시,10,2014,5.262910057,0.0
대구광역시,10,2015,3.877933726,0.0
대구광역시,10,2016,4.154928992,0.0
대구광역시,10,2017,4.4319242580000004,0.0
대구광역시,10,2018,3.60093846,0.0
대구광역시,10,2019,2.492957395,0.0
대구광역시,10,2020,2.2159621290000002,0.0
대구광역시,11,2012,5.262910057,0.0
대구광역시,11,2013,5.816900588999999,0.0
대구광역시,11,2014,5.262910057,0.0
대구광역시,11,2015,3.877933726,0.0
대구광역시,11,2016,4.154928992,0.0
대구광역시,11,2017,4.4319242580000004,0.0
대구광역시,11,2018,3.60093846,0.0
대구광역시,11,2019,2.492957395,0.0
대구광역시,11,2020,2.2159621290000002,0.0
대구광역시,12,2012,5.262910057,0.0
대구광역시,12,2013,5.816900588999999,0.0
대구광역시,12,2014,5.262910057,0.0
대구광역시,12,2015,3.877933726,0.0
대구광역시,12,2016,4.154928992,0.0
대구광역시,12,2017,4.4319242580000004,0.0
대구광역시,12,2018,3.60093846,0.0
대구광역시,12,2019,2.492957395,0.0
대구광역시,12,2020,2.2159621290000002,0.0
대전광역시,1,2012,14.78677471,0.0
대전광역시,1,2013,11.37444208,0.0
대전광역시,1,2014,10.80571998,0.0
대전광역시,1,2015,6.82466525,0.0
대전광역시,1,2016,8.530831563,0.0
대전광역시,1,2017,7.962109459,0.0
대전광역시,1,2018,5.118498938,0.0
대전광역시,1,2019,2.8436105210000004,0.0
대전광역시,1,2020,3.412332625,0.0
대전광역시,2,2012,14.78677471,0.0
대전광역시,2,2013,11.37444208,0.0
대전광역시,2,2014,10.80571998,0.0
대전광역시,2,2015,6.82466525,0.0
대전광역시,2,2016,8.530831563,0.0
대전광역시,2,2017,7.962109459,0.0
대전광역시,2,2018,5.118498938,0.0
대전광역시,2,2019,2.8436105210000004,0.0
대전광역시,2,2020,3.412332625,0.0
대전광역시,3,2012,14.78677471,0.0
대전광역시,3,2013,11.37444208,0.0
대전광역시,3,2014,10.80571998,0.0
대전광역시,3,2015,6.82466525,0.0
대전광역시,3,2016,8.530831563,0.0
대전광역시,3,2017,7.962109459,0.0
대전광역시,3,2018,5.118498938,0.0
