year,month,day,시군구index,철새수,발생거리,평균온도,일강수량,위험도,code
2021,9,1,141,0,69.26,24.8,0.1,5.0,45111
2021,9,1,141,0,69.26,24.8,0.1,5.0,45113
2021,9,1,142,0,63.34,24.8,0.1,5.0,45130
2021,9,1,143,0,57.26,24.8,0.1,5.0,45140
2021,9,1,144,0,100.31,24.8,0.1,2.5,45180
2021,9,1,145,0,117.12,24.8,0.1,2.5,45190
2021,9,1,146,0,74.63,24.8,0.1,5.0,45210
2021,9,1,147,0,60.37,24.8,0.1,5.0,45710
2021,9,1,148,0,77.82,24.8,0.1,2.5,45720
2021,9,1,149,0,68.94,24.8,0.1,5.0,45730
2021,9,1,150,0,95.94,24.8,0.1,2.5,45740
2021,9,1,151,0,93.41,24.8,0.1,2.5,45750
2021,9,1,152,0,119.22,24.8,0.1,2.5,45770
2021,9,1,153,0,118.49,24.8,0.1,2.5,45790
2021,9,1,154,0,86.71,24.8,0.1,2.5,45800
2021,9,1,156,0,193.27,24.2,5.2,3.5,46110
2021,9,1,157,0,193.82,24.2,5.2,3.5,46130
2021,9,1,158,0,169.62,24.2,5.2,4.5,46150
2021,9,1,159,0,163.3,24.2,5.2,4.5,46170
2021,9,1,160,0,175.36,24.2,5.2,3.5,46230
2021,9,1,161,0,125.69,24.2,5.2,6.0,46710
2021,9,1,162,0,130.43,24.2,5.2,6.0,46720
2021,9,1,163,0,141.76,24.2,5.2,6.0,46730
2021,9,1,164,0,205.29,24.2,5.2,0.0,46770
2021,9,1,165,0,186.3,24.2,5.2,3.5,46780
2021,9,1,166,0,154.14,24.2,5.2,6.0,46790
2021,9,1,167,0,197.19,24.2,5.2,3.5,46800
2021,9,1,168,0,203.16,24.2,5.2,3.5,46810
2021,9,1,169,0,213.52,24.2,5.2,0.0,46820
2021,9,1,170,0,187.01,24.2,5.2,3.5,46830
2021,9,1,171,0,171.83,24.2,5.2,4.5,46840
2021,9,1,172,0,162.86,24.2,5.2,4.5,46860
2021,9,1,173,0,141.06,24.2,5.2,6.0,46870
2021,9,1,174,0,130.79,24.2,5.2,6.0,46880
2021,9,1,175,0,239.74,24.2,5.2,0.0,46890
2021,9,1,176,0,231.28,24.2,5.2,0.0,46900
2021,9,1,177,0,192.3,24.2,5.2,0.0,46910
2021,9,1,179,0,205.09,22.8,2.0,0.0,47111
2021,9,1,179,0,205.09,22.8,2.0,0.0,47113
2021,9,1,180,0,200.13,22.8,2.0,0.0,47130
2021,9,1,181,0,95.44,22.8,2.0,2.5,47150
2021,9,1,182,0,144.58,22.8,2.0,2.5,47170
2021,9,1,183,0,115.69,22.8,2.0,2.5,47190
2021,9,1,184,0,140.12,22.8,2.0,2.5,47210
2021,9,1,185,0,171.52,22.8,2.0,0.0,47230
2021,9,1,186,0,93.15,22.8,2.0,2.5,47250
2021,9,1,187,0,96.68,22.8,2.0,2.5,47280
2021,9,1,188,0,161.23,22.8,2.0,0.0,47290
2021,9,1,189,0,132.14,22.8,2.0,2.5,47720
2021,9,1,190,0,141.63,22.8,2.0,2.5,47730
2021,9,1,191,0,173.37,22.8,2.0,0.0,47750
2021,9,1,192,0,179.72,22.8,2.0,0.0,47760
2021,9,1,193,0,200.98,22.8,2.0,0.0,47770
2021,9,1,194,0,170.22,22.8,2.0,0.0,47820
2021,9,1,195,0,130.31,22.8,2.0,2.5,47830
2021,9,1,196,0,119.79,22.8,2.0,2.5,47840
2021,9,1,197,0,125.51,22.8,2.0,2.5,47850
2021,9,1,198,0,119.85,22.8,2.0,2.5,47900
2021,9,1,199,0,152.23,22.8,2.0,2.5,47920
2021,9,1,200,0,212.22,22.8,2.0,0.0,47930
2021,9,1,201,0,355.64,22.8,2.0,0.0,47940
2021,9,1,203,0,195.47,23.2,8.6,0.0,48121
2021,9,1,203,0,195.47,23.2,8.6,0.0,48123
2021,9,1,203,0,195.47,23.2,8.6,0.0,48125
2021,9,1,203,0,195.47,23.2,8.6,0.0,48127
2021,9,1,203,0,195.47,23.2,8.6,0.0,48129
2021,9,1,204,0,166.64,23.2,8.6,0.0,48170
2021,9,1,205,0,213.16,23.2,8.6,0.0,48220
2021,9,1,206,0,181.72,23.2,8.6,0.0,48240
2021,9,1,207,0,209.3,23.2,8.6,0.0,48250
2021,9,1,208,0,180.11,23.2,8.6,0.0,48270
2021,9,1,209,0,220.77,23.2,8.6,0.0,48310
2021,9,1,210,0,212.45,23.2,8.6,0.0,48330
2021,9,1,211,0,161.94,23.2,8.6,0.0,48720
2021,9,1,212,0,174.67,23.2,8.6,0.0,48730
2021,9,1,213,0,159.13,23.2,8.6,0.0,48740
2021,9,1,,0,196.58,23.2,8.6,0.0,48820
2021,9,1,214,0,192.06,23.2,8.6,0.0,48840
2021,9,1,215,0,163.63,23.2,8.6,0.0,48850
2021,9,1,216,0,133.25,23.2,8.6,2.5,48860
2021,9,1,217,0,116.52,23.2,8.6,2.5,48870
2021,9,1,218,0,110.4,23.2,8.6,2.5,48880
2021,9,1,219,0,135.79,23.2,8.6,2.5,48890
2021,9,1,221,0,332.04,25.2,22.6,0.0,50110
2021,9,1,222,0,358.65,25.2,22.6,0.0,50130
