month,시도,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),index_avg_temp(C),index_daily_rain(mm),index_avg_wind(m/s),index_avg_r_humidity(%),Risk
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,충청북도,0,0,0,0,0,0,0,0,0.0
9,광주광역시,21.4,0.0,1.7,68.2,10,10,10,10,100.0
9,광주광역시,21.52,0.44,1.71,68.79,9,9,9,9,90.0
9,광주광역시,21.64,0.88,1.72,69.38,8,8,8,8,80.0
9,광주광역시,21.76,1.32,1.73,69.97,7,7,7,7,70.0
9,광주광역시,21.88,1.76,1.74,70.56,6,6,6,6,60.0
9,광주광역시,22.0,2.2,1.75,71.15,5,5,5,5,50.0
9,광주광역시,22.12,2.64,1.76,71.74,4,4,4,4,40.0
9,광주광역시,22.24,3.08,1.77,72.33,3,3,3,3,30.0
9,광주광역시,22.36,3.52,1.78,72.92,2,2,2,2,20.0
9,광주광역시,22.6,4.4,1.8,74.1,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,울산광역시,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,제주특별자치도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,강원도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경상남도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,경기도,0,0,0,0,0,0,0,0,0.0
9,전라남도,20.7,12.2,1.5,79.1,10,10,10,10,100.0
9,전라남도,20.84,11.53,1.54,78.95,9,9,9,9,90.0
9,전라남도,20.98,10.86,1.58,78.8,8,8,8,8,80.0
9,전라남도,21.12,10.19,1.62,78.65,7,7,7,7,70.0
9,전라남도,21.26,9.52,1.66,78.5,6,6,6,6,60.0
9,전라남도,21.4,8.85,1.7,78.35,5,5,5,5,50.0
9,전라남도,21.54,8.18,1.74,78.2,4,4,4,4,40.0
9,전라남도,21.68,7.51,1.78,78.05,3,3,3,3,30.0
9,전라남도,21.82,6.84,1.82,77.9,2,2,2,2,20.0
9,전라남도,22.1,5.5,1.9,77.6,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
9,전라북도,0,0,0,0,0,0,0,0,0.0
