구분,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,평균
목점박이비둘기,0,0,0,0,0,0,0
녹색비둘기,0,0,0,0,0,0,0
밤색날개뻐꾸기,0,0,0,0,0,0,0
큰매사촌,0,0,0,0,0,0,0
매사촌,0,0,0,0,0,0,0
검은등뻐꾸기,0,0,0,0,0,0,0
뻐꾸기,0,0,0,0,0,0,0
벙어리뻐꾸기,0,0,0,0,0,0,0
두견,0,0,0,0,0,0,0
검은두견이,0,0,0,0,0,0,0
검은뻐꾸기,0,0,0,0,0,0,0
우는뻐꾸기,0,0,0,0,0,0,0
작은뻐꾸기사촌,0,0,0,0,0,0,0
가면올빼미,0,0,0,0,0,0,0
큰소쩍새,0,0,0,1,0,0,0.17
소쩍새,0,0,0,0,0,0,0
흰올빼미,0,0,0,0,0,0,0
수리부엉이,2,2,16,11,9,5,7.5
올빼미,0,0,0,0,0,0,0
긴점박이올빼미,0,0,0,0,0,0,0
긴꼬리올빼미,0,0,0,0,0,0,0
금눈쇠올빼미,0,0,1,0,0,0,0.17
솔부엉이,0,0,0,0,0,0,0
칡부엉이,0,0,0,0,1,0,0.17
쇠부엉이,0,3,7,4,4,1,3.17
쏙독새,0,0,0,0,0,0,0
작은칼새,0,0,0,0,0,0,0
바늘꼬리칼새,0,0,0,0,0,0,0
칼새,0,0,0,0,0,90,15
쇠칼새,0,0,0,0,0,0,0
파랑새,0,0,0,0,0,0,0
호반새,0,0,0,0,0,0,0
청호반새,0,0,0,0,0,0,0
물총새,66,36,37,14,7,10,28.33
뿔호반새,0,0,0,0,0,0,0
후투티,33,36,54,43,41,27,39
개미잡이,0,0,0,0,0,0,0
붉은배오색딱다구리,0,0,0,0,0,0,0
쇠딱다구리,53,78,147,182,125,134,119.83
아물쇠딱다구리,0,1,0,1,2,1,0.83
쇠오색딱다구리,0,0,0,0,0,0,0
큰오색딱다구리,10,16,12,22,10,5,12.5
오색딱다구리,40,47,100,117,74,79,76.17
세가락딱다구리,0,0,0,0,0,0,0
크낙새,0,0,0,0,0,0,0
까막딱다구리,0,0,0,0,0,0,0
청딱다구리,75,78,84,81,52,85,75.83
팔색조,0,0,0,0,0,0,0
푸른날개팔색조,0,0,0,0,0,0,0
회색숲제비,0,0,0,0,0,0,0
검은할미새사촌,0,0,0,0,0,0,0
할미새사촌,0,0,0,0,0,0,0
검은가슴할미새사촌,0,0,0,0,0,0,0
칡때까치,1,0,0,0,0,0,0.17
때까치,450,425,557,433,260,158,380.5
노랑때까치,0,0,0,0,1,0,0.17
붉은등때까치,0,0,0,0,0,0,0
긴꼬리때까치,3,1,6,4,3,1,3
재때까치,0,0,0,0,0,1,0.17
물때까치,10,16,14,12,12,1,10.83
꾀꼬리,0,0,0,0,0,0,0
검은바람까마귀,0,0,0,0,0,0,0
회색바람까마귀,0,0,0,0,0,0,0
바람까마귀,0,0,0,0,0,0,0
북방긴꼬리딱새,0,0,0,0,0,0,0
긴꼬리딱새,0,0,0,0,0,0,0
어치,48,39,90,106,69,60,68.67
물까치,1146,1508,2171,1583,765,517,1281.67
까치,2813,4090,7804,7792,4587,3466,5092
잣까마귀,0,0,0,0,0,0,0
붉은부리까마귀,0,0,0,0,0,0,0
갈까마귀,0,2005,5002,4505,501,93,2017.67
집까마귀,0,0,0,0,0,0,0
떼까마귀,1070,42921,77637,94672,54282,49098,53280
까마귀,53,154,427,328,242,62,211
큰부리까마귀,807,1395,2943,3187,1280,1111,1787.17
큰까마귀,0,0,0,0,0,0,0
황여새,0,0,1,0,0,6,1.17
홍여새,0,0,0,0,9,10,3.17
박새,1027,1493,2093,2437,1620,1415,1680.83
노랑배진박새,0,20,8,1,1,3,5.5
진박새,55,29,95,111,64,65,69.83
곤줄박이,55,115,129,235,166,155,142.5
쇠박새,256,314,483,729,518,525,470.83
북방쇠박새,0,0,0,0,0,0,0
스윈호오목눈이,0,20,22,59,10,73,30.67
갈색제비,0,0,0,0,0,0,0
제비,2371,17,110,0,1,474,495.5
바위산제비,0,0,0,0,0,0,0
흰턱제비,0,0,0,0,0,0,0
흰털발제비,0,0,0,0,0,12,2
귀제비,2,0,0,0,0,0,0.33
오목눈이,500,797,990,1245,856,492,813.33
쇠종다리,0,0,0,0,0,0,0
북방쇠종다리,0,0,0,0,0,0,0
흰날개종다리,0,0,0,0,0,0,0
뿔종다리,0,0,0,0,0,0,0
종다리,223,1201,2418,2679,1017,221,1293.17
남방종다리,0,0,0,0,0,0,0
해변종다리,0,0,0,0,0,0,0
개개비사촌,26,12,6,4,6,2,9.33
꼬리치레,0,0,0,0,0,0,0
검은이마직박구리,138,200,293,192,136,102,176.83
직박구리,1634,2633,4577,3831,2041,1672,2731.33
큰개개비,0,0,0,0,0,0,0
숲새,0,0,0,0,0,0,0
휘파람새,0,42,33,14,30,53,28.67
쇠덤불개개비,0,0,0,0,0,0,0
점무늬가슴쥐발귀,0,0,0,0,0,0,0
쥐발귀개개비,0,0,0,0,0,0,0
북방개개비,0,0,0,0,0,0,0
알락꼬리쥐발귀,0,0,0,0,0,0,0
섬개개비,0,0,0,0,0,0,0
붉은허리개개비,0,0,0,0,0,0,0
큰부리개개비,0,0,0,0,0,0,0
개개비,4,0,0,0,0,0,0.67
쇠개개비,0,0,1,0,0,0,0.17
풀쇠개개비,0,0,0,0,0,0,0
북방쇠개개비,0,0,0,0,0,0,0
연노랑솔새,0,0,0,0,0,0,0
검은다리솔새,0,0,0,0,0,0,0
쇠긴다리솔새사촌,0,0,0,0,0,0,0
솔새사촌,0,0,1,0,0,0,0.17
노랑배솔새사촌,0,0,0,0,0,0,0
긴다리솔새사촌,0,0,0,0,0,0,0
노랑배솔새,0,0,0,0,0,0,0
노랑허리솔새,1,0,0,0,0,0,0.17
노랑눈썹솔새,42,0,0,0,0,0,7
연노랑눈썹솔새,0,0,0,0,0,0,0
쇠솔새,18,0,0,0,0,0,3
솔새,0,0,0,0,0,0,0
버들솔새,0,0,0,0,0,0,0
되솔새,0,0,0,0,0,0,0
사할린되솔새,0,0,0,0,0,0,0
산솔새,0,0,0,0,0,0,0
히말라야산솔새,0,0,0,0,0,0,0
비늘무늬덤불개개비,0,0,0,0,0,0,0
쇠흰턱딱새,0,0,0,0,0,0,0
수염오목눈이,0,0,0,0,0,0,0
붉은머리오목눈이,8884,16242,14284,16434,11338,9444,12771
한국동박새,0,0,0,0,0,0,0
동박새,9,171,352,141,122,72,144.5
상모솔새,1,26,93,102,14,17,42.17
굴뚝새,7,28,74,61,44,19,38.83
동고비,8,14,44,78,52,77,45.5
쇠동고비,0,0,0,0,0,0,0
나무발발이,0,0,0,0,0,0,0
검은뿔찌르레기,0,0,0,0,0,0,0
북방쇠찌르레기,0,0,0,0,0,0,0
쇠찌르레기,0,0,0,0,0,0,0
잿빛쇠찌르레기,0,0,0,0,0,0,0
분홍찌르레기,0,0,0,0,0,0,0
붉은부리찌르레기,15,1,134,114,72,72,68
찌르레기,473,848,1577,1010,711,1323,990.33
흰점찌르레기,6,12,49,39,23,7,22.67
귤빛지빠귀,0,0,0,0,0,0,0
흰눈썹지빠귀,0,0,0,0,0,0,0
호랑지빠귀,0,0,4,1,0,0,0.83
되지빠귀,2,0,0,3,0,0,0.83
검은지빠귀,0,0,0,0,0,0,0
대륙검은지빠귀,0,0,0,0,0,0,0
갈색지빠귀,0,0,0,0,0,0,0
흰눈썹붉은배지빠귀,0,0,0,0,0,0,0
흰배지빠귀,9,6,21,33,16,13,16.33
붉은배지빠귀,0,0,0,0,0,0,0
검은목지빠귀,0,0,0,0,0,0,0
붉은목지빠귀,0,0,0,0,0,0,0
노랑지빠귀,0,26,209,346,144,153,146.33
개똥지빠귀,3,114,544,896,526,826,484.83
회색머리지빠귀,0,0,0,0,0,0,0
붉은날개지빠귀,0,0,0,0,0,0,0
큰점지빠귀,0,0,0,0,0,0,0
꼬까울새,0,0,0,0,0,0,0
붉은가슴울새,0,0,0,0,0,0,0
흰눈썹울새,0,0,0,0,0,0,0
진홍가슴,0,6,1,0,0,0,1.17
쇠유리새,0,0,0,0,0,0,0
유리딱새,0,0,3,6,0,0,1.5
울새,0,0,0,0,0,0,0
검은머리딱새,0,0,0,0,0,0,0
딱새,870,1150,1193,1044,477,441,862.5
흰목딱새,0,0,0,0,0,0,0
부채꼬리바위딱새,0,0,0,0,0,0,0
흰머리바위딱새,0,0,0,0,0,0,0
검은딱새,41,2,2,1,1,0,7.83
검은뺨딱새,0,0,0,0,0,0,0
긴다리사막딱새,0,0,0,0,0,0,0
사막딱새,0,0,0,0,0,0,0
검은등사막딱새,0,0,0,0,0,0,0
검은꼬리사막딱새,0,0,0,0,0,0,0
바다직박구리,9,42,121,86,50,36,57.33
꼬까직박구리,0,0,0,0,0,0,0
제비딱새,2,0,0,0,0,0,0.33
솔딱새,0,0,0,0,0,0,0
쇠솔딱새,2,0,1,0,0,0,0.5
회색머리딱새,0,0,0,0,0,0,0
흰눈썹황금새,0,0,0,0,0,0,0
황금새,0,0,0,0,0,0,0
북방황금새,0,0,0,0,0,0,0
노랑딱새,1,0,0,0,0,0,0.17
흰꼬리딱새,1,0,0,0,0,0,0.17
붉은가슴흰꼬리딱새,0,0,0,0,0,0,0
큰유리새,0,0,0,0,0,0,0
파랑딱새,0,0,0,0,0,0,0
붉은가슴딱새,0,0,0,0,0,0,0
회색머리노랑딱새,0,0,0,0,0,0,0
물까마귀,0,0,2,1,0,0,0.5
집참새,0,0,0,0,0,0,0
