년도,주소,시도,시군,축종명,경영체수 합계(건),시설여부(경영체 수),,경영형태(시설 개수),,사육 규모,단위
,,,,,,시설 없음,시설 있음,자영,임차,,
2018,전라북도전주시,전라북도,전주시,육계,5,0,6,6,0,116800,마리
2018,전라북도군산시,전라북도,군산시,육계,20,0,34,25,9,1194850,마리
2018,전라북도군산시,전라북도,군산시,오리,1,0,3,3,0,10000,마리
2018,전라북도군산시,전라북도,군산시,꿩,1,0,1,1,0,250,마리
2018,전라북도익산시,전라북도,익산시,육계,142,0,221,125,96,8375950,마리
2018,전라북도익산시,전라북도,익산시,오리,4,0,5,4,1,45000,마리
2018,전라북도정읍시,전라북도,정읍시,육계,138,0,197,144,53,8081000,마리
2018,전라북도정읍시,전라북도,정읍시,오리,54,0,75,43,32,995993,마리
2018,전라북도정읍시,전라북도,정읍시,메추리,1,0,1,1,0,270000,마리
2018,전라북도정읍시,전라북도,정읍시,타조,3,0,3,3,0,360,마리
2018,전라북도남원시,전라북도,남원시,육계,137,0,218,163,55,8337310,마리
2018,전라북도남원시,전라북도,남원시,오리,33,0,84,71,13,811940,마리
2018,전라북도남원시,전라북도,남원시,꿩,1,0,1,1,0,10000,마리
2018,전라북도김제시,전라북도,김제시,육계,87,0,149,117,32,4691185,마리
2018,전라북도김제시,전라북도,김제시,오리,14,0,23,21,2,200667,마리
2018,전라북도김제시,전라북도,김제시,메추리,2,0,2,2,0,420000,마리
2018,전라북도완주군,전라북도,완주군,육계,41,0,66,51,15,1776450,마리
2018,전라북도완주군,전라북도,완주군,칠면조,1,0,1,1,0,10,마리
2018,전라북도완주군,전라북도,완주군,오리,2,0,4,4,0,5100,마리
2018,전라북도완주군,전라북도,완주군,메추리,3,0,3,2,1,350020,마리
2018,전라북도완주군,전라북도,완주군,꿩,1,0,1,1,0,50,마리
2018,전라북도진안군,전라북도,진안군,육계,68,0,99,69,30,4802612,마리
2018,전라북도진안군,전라북도,진안군,오리,4,0,8,1,7,54000,마리
2018,전라북도진안군,전라북도,진안군,메추리,2,0,3,3,0,420000,마리
2018,전라북도진안군,전라북도,진안군,꿩,1,0,1,1,0,2000,마리
2018,전라북도무주군,전라북도,무주군,육계,6,0,7,7,0,182450,마리
2018,전라북도무주군,전라북도,무주군,오리,4,0,4,4,0,6200,마리
2018,전라북도장수군,전라북도,장수군,육계,24,0,29,22,7,997118,마리
2018,전라북도장수군,전라북도,장수군,오리,14,0,20,14,6,262700,마리
2018,전라북도임실군,전라북도,임실군,육계,52,0,89,71,18,3514094,마리
2018,전라북도임실군,전라북도,임실군,오리,9,0,9,5,4,141500,마리
2018,전라북도순창군,전라북도,순창군,육계,43,0,67,46,21,2544970,마리
2018,전라북도순창군,전라북도,순창군,오리,10,0,17,13,4,129500,마리
2018,전라북도고창군,전라북도,고창군,육계,83,0,116,83,33,5773540,마리
2018,전라북도고창군,전라북도,고창군,오리,35,0,46,27,19,543338,마리
2018,전라북도고창군,전라북도,고창군,메추리,1,0,1,1,0,100000,마리
2018,전라북도고창군,전라북도,고창군,타조,1,0,1,1,0,40,마리
2018,전라북도부안군,전라북도,부안군,육계,79,0,108,91,17,5545240,마리
2018,전라북도부안군,전라북도,부안군,오리,45,0,55,34,21,806130,마리
2018,전라북도부안군,전라북도,부안군,메추리,1,0,1,1,0,140000,마리
2018,전라남도목포시,전라남도,목포시,육계,2,0,2,1,1,420,마리
2018,전라남도여수시,전라남도,여수시,육계,45,0,53,49,4,653659,마리
2018,전라남도여수시,전라남도,여수시,칠면조,1,0,1,1,0,10,마리
2018,전라남도여수시,전라남도,여수시,오리,3,0,3,3,0,55,마리
2018,전라남도여수시,전라남도,여수시,타조,1,0,1,0,1,2,마리
2018,전라남도순천시,전라남도,순천시,육계,44,0,63,54,9,1531905,마리
2018,전라남도순천시,전라남도,순천시,오리,6,0,7,5,2,142000,마리
2018,전라남도순천시,전라남도,순천시,메추리,1,0,1,1,0,60000,마리
2018,전라남도나주시,전라남도,나주시,육계,86,0,130,100,30,6420500,마리
2018,전라남도나주시,전라남도,나주시,오리,95,0,150,86,64,2096400,마리
2018,전라남도나주시,전라남도,나주시,메추리,1,0,1,1,0,60000,마리
2018,전라남도나주시,전라남도,나주시,꿩,1,0,1,1,0,6000,마리
2018,전라남도광양시,전라남도,광양시,육계,11,0,11,10,1,42290,마리
2018,전라남도광양시,전라남도,광양시,오리,1,1,0,1,0,2,마리
2018,전라남도광양시,전라남도,광양시,꿩,1,0,2,2,0,8000,마리
2018,전라남도담양군,전라남도,담양군,육계,27,0,42,25,17,1547730,마리
2018,전라남도담양군,전라남도,담양군,오리,16,0,33,21,12,153150,마리
2018,전라남도담양군,전라남도,담양군,꿩,1,0,1,1,0,4000,마리
2018,전라남도곡성군,전라남도,곡성군,육계,48,0,78,56,22,2599034,마리
2018,전라남도곡성군,전라남도,곡성군,오리,22,0,62,29,33,369000,마리
2018,전라남도곡성군,전라남도,곡성군,메추리,2,0,2,2,0,550000,마리
2018,전라남도구례군,전라남도,구례군,육계,11,0,22,18,4,426500,마리
2018,전라남도구례군,전라남도,구례군,오리,20,0,68,43,25,555000,마리
2018,전라남도고흥군,전라남도,고흥군,육계,20,0,23,16,7,659215,마리
2018,전라남도고흥군,전라남도,고흥군,오리,12,0,18,14,4,155500,마리
2018,전라남도보성군,전라남도,보성군,육계,24,0,30,27,3,1212627,마리
2018,전라남도보성군,전라남도,보성군,오리,21,0,28,25,3,381250,마리
2018,전라남도화순군,전라남도,화순군,육계,25,0,33,19,14,742520,마리
2018,전라남도화순군,전라남도,화순군,오리,3,0,3,1,2,11650,마리
2018,전라남도화순군,전라남도,화순군,메추리,2,0,2,1,1,260000,마리
2018,전라남도장흥군,전라남도,장흥군,육계,19,0,23,19,4,1003950,마리
2018,전라남도장흥군,전라남도,장흥군,칠면조,1,0,1,1,0,20,마리
2018,전라남도장흥군,전라남도,장흥군,오리,45,0,93,64,29,841100,마리
2018,전라남도강진군,전라남도,강진군,육계,32,0,34,29,5,1897498,마리
2018,전라남도강진군,전라남도,강진군,오리,25,0,37,32,5,408740,마리
2018,전라남도강진군,전라남도,강진군,타조,1,0,1,1,0,31,마리
2018,전라남도해남군,전라남도,해남군,육계,29,0,33,26,7,1783011,마리
2018,전라남도해남군,전라남도,해남군,오리,20,0,23,19,4,366050,마리
2018,전라남도영암군,전라남도,영암군,육계,56,0,73,59,14,5137035,마리
2018,전라남도영암군,전라남도,영암군,오리,65,0,138,74,64,1481430,마리
2018,전라남도영암군,전라남도,영암군,메추리,1,0,1,1,0,150000,마리
2018,전라남도영암군,전라남도,영암군,타조,1,0,1,1,0,5,마리
2018,전라남도무안군,전라남도,무안군,육계,62,0,99,83,16,3826925,마리
2018,전라남도무안군,전라남도,무안군,오리,29,0,68,57,11,473880,마리
2018,전라남도함평군,전라남도,함평군,육계,62,0,110,96,14,4546050,마리
2018,전라남도함평군,전라남도,함평군,오리,31,0,48,40,8,587500,마리
2018,전라남도영광군,전라남도,영광군,육계,48,0,56,48,8,3281000,마리
2018,전라남도영광군,전라남도,영광군,오리,6,0,9,8,1,95900,마리
2018,전라남도장성군,전라남도,장성군,육계,13,0,15,14,1,303250,마리
2018,전라남도장성군,전라남도,장성군,오리,4,0,4,4,0,35500,마리
2018,전라남도장성군,전라남도,장성군,꿩,1,0,1,0,1,1000,마리
2018,전라남도진도군,전라남도,진도군,육계,5,0,5,5,0,155400,마리
2018,전라남도진도군,전라남도,진도군,오리,9,0,14,9,5,84000,마리
2018,전라남도신안군,전라남도,신안군,육계,13,0,15,15,0,5100,마리
2018,경상북도포항시,경상북도,포항시,육계,17,0,18,13,5,110010,마리
2018,경상북도포항시,경상북도,포항시,오리,2,0,2,1,1,440,마리
2018,경상북도포항시,경상북도,포항시,꿩,1,0,1,0,1,200,마리
2018,경상북도포항시,경상북도,포항시,타조,1,0,1,1,0,1,마리
2018,경상북도경주시,경상북도,경주시,육계,43,0,45,43,2,246162,마리
2018,경상북도경주시,경상북도,경주시,오리,7,0,7,7,0,3846,마리
2018,경상북도경주시,경상북도,경주시,메추리,4,0,7,7,0,328332,마리
2018,경상북도경주시,경상북도,경주시,타조,1,0,1,1,0,100,마리
2018,경상북도김천시,경상북도,김천시,육계,56,0,83,61,22,3641066,마리
2018,경상북도김천시,경상북도,김천시,오리,1,0,1,1,0,20,마리
2018,경상북도안동시,경상북도,안동시,육계,94,0,114,105,9,3353279,마리
2018,경상북도안동시,경상북도,안동시,칠면조,4,0,4,4,0,27,마리
